[00:00:00]: Starting up
[00:00:00]: Don't Starve: 429557 LINUX
Branch: release
Build Date: 77
[00:00:00]: THREAD - started 'GAClient' (281473022853056)
[00:00:00]: HttpClient::ClientThread::Main()
[00:00:00]: Dynamic loading level: 0
[00:00:00]: cGame::InitializeOnMainThread
[00:00:00]: WindowManager::Initialize
[00:00:00]: Creating window with size 1920x1152 at 805240832x805240832
[00:00:00]: THREAD - started 'SDLInputManager' (281472977805248)
[00:00:00]: GLInfo
[00:00:00]: ~~~~~~
[00:00:00]: GL_VENDOR: Panfrost
[00:00:00]: GL_RENDERER: Mali-T860 (Panfrost)
[00:00:00]: GL_VERSION: 3.3 (Compatibility Profile) Mesa 22.3.0-devel (git-d5394296be)
[00:00:00]: GL_SHADING_LANGUAGE_VERSION: 3.30
[00:00:00]: OpenGL 3.0 present, detecting extensions the new way
[00:00:00]: OpenGL extensions (245, 245):
[00:00:00]: GL_AMD_conservative_depth
[00:00:00]: GL_AMD_depth_clamp_separate
[00:00:00]: GL_AMD_draw_buffers_blend
[00:00:00]: GL_AMD_multi_draw_indirect
[00:00:00]: GL_AMD_seamless_cubemap_per_texture
[00:00:00]: GL_AMD_shader_stencil_export
[00:00:00]: GL_AMD_shader_trinary_minmax
[00:00:00]: GL_AMD_texture_texture4
[00:00:00]: GL_ANGLE_texture_compression_dxt3
[00:00:00]: GL_ANGLE_texture_compression_dxt5
[00:00:00]: GL_APPLE_packed_pixels
[00:00:00]: GL_ARB_ES2_compatibility
[00:00:00]: GL_ARB_ES3_compatibility
[00:00:00]: GL_ARB_arrays_of_arrays
[00:00:00]: GL_ARB_blend_func_extended
[00:00:00]: GL_ARB_buffer_storage
[00:00:00]: GL_ARB_clear_buffer_object
[00:00:00]: GL_ARB_color_buffer_float
[00:00:00]: GL_ARB_compatibility
[00:00:00]: GL_ARB_compressed_texture_pixel_storage
[00:00:00]: GL_ARB_conditional_render_inverted
[00:00:00]: GL_ARB_conservative_depth
[00:00:00]: GL_ARB_copy_buffer
[00:00:00]: GL_ARB_debug_output
[00:00:00]: GL_ARB_depth_buffer_float
[00:00:00]: GL_ARB_depth_clamp
[00:00:00]: GL_ARB_depth_texture
[00:00:00]: GL_ARB_direct_state_access
[00:00:00]: GL_ARB_draw_buffers
[00:00:00]: GL_ARB_draw_buffers_blend
[00:00:00]: GL_ARB_draw_elements_base_vertex
[00:00:00]: GL_ARB_draw_indirect
[00:00:00]: GL_ARB_draw_instanced
[00:00:00]: GL_ARB_enhanced_layouts
[00:00:00]: GL_ARB_explicit_attrib_location
[00:00:00]: GL_ARB_explicit_uniform_location
[00:00:00]: GL_ARB_fragment_coord_conventions
[00:00:00]: GL_ARB_fragment_program
[00:00:00]: GL_ARB_fragment_program_shadow
[00:00:00]: GL_ARB_fragment_shader
[00:00:00]: GL_ARB_framebuffer_no_attachments
[00:00:00]: GL_ARB_framebuffer_object
[00:00:00]: GL_ARB_framebuffer_sRGB
[00:00:00]: GL_ARB_get_program_binary
[00:00:00]: GL_ARB_get_texture_sub_image
[00:00:00]: GL_ARB_half_float_pixel
[00:00:00]: GL_ARB_half_float_vertex
[00:00:00]: GL_ARB_instanced_arrays
[00:00:00]: GL_ARB_internalformat_query
[00:00:00]: GL_ARB_internalformat_query2
[00:00:00]: GL_ARB_invalidate_subdata
[00:00:00]: GL_ARB_map_buffer_alignment
[00:00:00]: GL_ARB_map_buffer_range
[00:00:00]: GL_ARB_multi_bind
[00:00:00]: GL_ARB_multi_draw_indirect
[00:00:00]: GL_ARB_multisample
[00:00:00]: GL_ARB_multitexture
[00:00:00]: GL_ARB_occlusion_query
[00:00:00]: GL_ARB_occlusion_query2
[00:00:00]: GL_ARB_parallel_shader_compile
[00:00:00]: GL_ARB_pixel_buffer_object
[00:00:00]: GL_ARB_point_parameters
[00:00:00]: GL_ARB_point_sprite
[00:00:00]: GL_ARB_program_interface_query
[00:00:00]: GL_ARB_provoking_vertex
[00:00:00]: GL_ARB_robustness
[00:00:00]: GL_ARB_sample_shading
[00:00:00]: GL_ARB_sampler_objects
[00:00:00]: GL_ARB_seamless_cube_map
[00:00:00]: GL_ARB_seamless_cubemap_per_texture
[00:00:00]: GL_ARB_separate_shader_objects
[00:00:00]: GL_ARB_shader_atomic_counter_ops
[00:00:00]: GL_ARB_shader_atomic_counters
[00:00:00]: GL_ARB_shader_bit_encoding
[00:00:00]: GL_ARB_shader_image_load_store
[00:00:00]: GL_ARB_shader_image_size
[00:00:00]: GL_ARB_shader_objects
[00:00:00]: GL_ARB_shader_stencil_export
[00:00:00]: GL_ARB_shader_storage_buffer_object
[00:00:00]: GL_ARB_shader_subroutine
[00:00:00]: GL_ARB_shader_texture_lod
[00:00:00]: GL_ARB_shading_language_100
[00:00:00]: GL_ARB_shading_language_420pack
[00:00:00]: GL_ARB_shading_language_include
[00:00:00]: GL_ARB_shading_language_packing
[00:00:00]: GL_ARB_shadow
[00:00:00]: GL_ARB_stencil_texturing
[00:00:00]: GL_ARB_sync
[00:00:00]: GL_ARB_texture_border_clamp
[00:00:00]: GL_ARB_texture_buffer_object
[00:00:00]: GL_ARB_texture_buffer_object_rgb32
[00:00:00]: GL_ARB_texture_buffer_range
[00:00:00]: GL_ARB_texture_compression
[00:00:00]: GL_ARB_texture_compression_bptc
[00:00:00]: GL_ARB_texture_compression_rgtc
[00:00:00]: GL_ARB_texture_cube_map
[00:00:00]: GL_ARB_texture_cube_map_array
[00:00:00]: GL_ARB_texture_env_add
[00:00:00]: GL_ARB_texture_env_combine
[00:00:00]: GL_ARB_texture_env_crossbar
[00:00:00]: GL_ARB_texture_env_dot3
[00:00:00]: GL_ARB_texture_float
[00:00:00]: GL_ARB_texture_gather
[00:00:00]: GL_ARB_texture_mirror_clamp_to_edge
[00:00:00]: GL_ARB_texture_mirrored_repeat
[00:00:00]: GL_ARB_texture_multisample
[00:00:00]: GL_ARB_texture_non_power_of_two
[00:00:00]: GL_ARB_texture_query_levels
[00:00:00]: GL_ARB_texture_rectangle
[00:00:00]: GL_ARB_texture_rg
[00:00:00]: GL_ARB_texture_rgb10_a2ui
[00:00:00]: GL_ARB_texture_stencil8
[00:00:00]: GL_ARB_texture_storage
[00:00:00]: GL_ARB_texture_storage_multisample
[00:00:00]: GL_ARB_texture_swizzle
[00:00:00]: GL_ARB_texture_view
[00:00:00]: GL_ARB_timer_query
[00:00:00]: GL_ARB_transform_feedback2
[00:00:00]: GL_ARB_transform_feedback3
[00:00:00]: GL_ARB_transform_feedback_instanced
[00:00:00]: GL_ARB_transpose_matrix
[00:00:00]: GL_ARB_uniform_buffer_object
[00:00:00]: GL_ARB_vertex_array_bgra
[00:00:00]: GL_ARB_vertex_array_object
[00:00:00]: GL_ARB_vertex_attrib_binding
[00:00:00]: GL_ARB_vertex_buffer_object
[00:00:00]: GL_ARB_vertex_program
[00:00:00]: GL_ARB_vertex_shader
[00:00:00]: GL_ARB_vertex_type_10f_11f_11f_rev
[00:00:00]: GL_ARB_vertex_type_2_10_10_10_rev
[00:00:00]: GL_ARB_window_pos
[00:00:00]: GL_ATI_blend_equation_separate
[00:00:00]: GL_ATI_draw_buffers
[00:00:00]: GL_ATI_fragment_shader
[00:00:00]: GL_ATI_separate_stencil
[00:00:00]: GL_ATI_texture_env_combine3
[00:00:00]: GL_ATI_texture_float
[00:00:00]: GL_ATI_texture_mirror_once
[00:00:00]: GL_EXT_EGL_image_storage
[00:00:00]: GL_EXT_EGL_sync
[00:00:00]: GL_EXT_abgr
[00:00:00]: GL_EXT_bgra
[00:00:00]: GL_EXT_blend_color
[00:00:00]: GL_EXT_blend_equation_separate
[00:00:00]: GL_EXT_blend_func_separate
[00:00:00]: GL_EXT_blend_minmax
[00:00:00]: GL_EXT_blend_subtract
[00:00:00]: GL_EXT_compiled_vertex_array
[00:00:00]: GL_EXT_copy_texture
[00:00:00]: GL_EXT_direct_state_access
[00:00:00]: GL_EXT_draw_buffers2
[00:00:00]: GL_EXT_draw_instanced
[00:00:00]: GL_EXT_draw_range_elements
[00:00:00]: GL_EXT_fog_coord
[00:00:00]: GL_EXT_framebuffer_blit
[00:00:00]: GL_EXT_framebuffer_multisample
[00:00:00]: GL_EXT_framebuffer_multisample_blit_scaled
[00:00:00]: GL_EXT_framebuffer_object
[00:00:00]: GL_EXT_framebuffer_sRGB
[00:00:00]: GL_EXT_gpu_program_parameters
[00:00:00]: GL_EXT_gpu_shader4
[00:00:00]: GL_EXT_multi_draw_arrays
[00:00:00]: GL_EXT_packed_depth_stencil
[00:00:00]: GL_EXT_packed_float
[00:00:00]: GL_EXT_packed_pixels
[00:00:00]: GL_EXT_pixel_buffer_object
[00:00:00]: GL_EXT_point_parameters
[00:00:00]: GL_EXT_provoking_vertex
[00:00:00]: GL_EXT_rescale_normal
[00:00:00]: GL_EXT_secondary_color
[00:00:00]: GL_EXT_separate_specular_color
[00:00:00]: GL_EXT_shader_framebuffer_fetch
[00:00:00]: GL_EXT_shader_framebuffer_fetch_non_coherent
[00:00:00]: GL_EXT_shader_image_load_formatted
[00:00:00]: GL_EXT_shader_integer_mix
[00:00:00]: GL_EXT_shadow_funcs
[00:00:00]: GL_EXT_stencil_two_side
[00:00:00]: GL_EXT_stencil_wrap
[00:00:00]: GL_EXT_subtexture
[00:00:00]: GL_EXT_texture
[00:00:00]: GL_EXT_texture3D
[00:00:00]: GL_EXT_texture_array
[00:00:00]: GL_EXT_texture_buffer_object
[00:00:00]: GL_EXT_texture_compression_dxt1
[00:00:00]: GL_EXT_texture_compression_rgtc
[00:00:00]: GL_EXT_texture_compression_s3tc
[00:00:00]: GL_EXT_texture_cube_map
[00:00:00]: GL_EXT_texture_edge_clamp
[00:00:00]: GL_EXT_texture_env_add
[00:00:00]: GL_EXT_texture_env_combine
[00:00:00]: GL_EXT_texture_env_dot3
[00:00:00]: GL_EXT_texture_integer
[00:00:00]: GL_EXT_texture_lod_bias
[00:00:00]: GL_EXT_texture_mirror_clamp
[00:00:00]: GL_EXT_texture_object
[00:00:00]: GL_EXT_texture_rectangle
[00:00:00]: GL_EXT_texture_sRGB
[00:00:00]: GL_EXT_texture_sRGB_R8
[00:00:00]: GL_EXT_texture_sRGB_RG8
[00:00:00]: GL_EXT_texture_sRGB_decode
[00:00:00]: GL_EXT_texture_shared_exponent
[00:00:00]: GL_EXT_texture_snorm
[00:00:00]: GL_EXT_texture_swizzle
[00:00:00]: GL_EXT_timer_query
[00:00:00]: GL_EXT_transform_feedback
[00:00:00]: GL_EXT_vertex_array
[00:00:00]: GL_EXT_vertex_array_bgra
[00:00:00]: GL_IBM_multimode_draw_arrays
[00:00:00]: GL_IBM_rasterpos_clip
[00:00:00]: GL_IBM_texture_mirrored_repeat
[00:00:00]: GL_INGR_blend_func_separate
[00:00:00]: GL_INTEL_blackhole_render
[00:00:00]: GL_KHR_blend_equation_advanced
[00:00:00]: GL_KHR_blend_equation_advanced_coherent
[00:00:00]: GL_KHR_context_flush_control
[00:00:00]: GL_KHR_debug
[00:00:00]: GL_KHR_no_error
[00:00:00]: GL_KHR_parallel_shader_compile
[00:00:00]: GL_KHR_texture_compression_astc_ldr
[00:00:00]: GL_KHR_texture_compression_astc_sliced_3d
[00:00:00]: GL_MESA_pack_invert
[00:00:00]: GL_MESA_shader_integer_functions
[00:00:00]: GL_MESA_texture_signed_rgba
[00:00:00]: GL_MESA_window_pos
[00:00:00]: GL_NV_ES1_1_compatibility
[00:00:00]: GL_NV_blend_square
[00:00:00]: GL_NV_conditional_render
[00:00:00]: GL_NV_copy_image
[00:00:00]: GL_NV_depth_clamp
[00:00:00]: GL_NV_fog_distance
[00:00:00]: GL_NV_half_float
[00:00:00]: GL_NV_light_max_exponent
[00:00:00]: GL_NV_packed_depth_stencil
[00:00:00]: GL_NV_primitive_restart
[00:00:00]: GL_NV_texgen_reflection
[00:00:00]: GL_NV_texture_env_combine4
[00:00:00]: GL_NV_texture_rectangle
[00:00:00]: GL_OES_EGL_image
[00:00:00]: GL_OES_read_format
[00:00:00]: GL_S3_s3tc
[00:00:00]: GL_SGIS_generate_mipmap
[00:00:00]: GL_SGIS_texture_border_clamp
[00:00:00]: GL_SGIS_texture_edge_clamp
[00:00:00]: GL_SGIS_texture_lod
[00:00:00]: GL_SUN_multi_draw_arrays
[00:00:00]: GL_MAX_TEXTURE_SIZE = 8192
[00:00:00]: GL_MAX_TEXTURE_IMAGE_UNITS = 32
[00:00:00]: GL_MAX_RENDERBUFFER_SIZE = 8192
[00:00:00]: GL_MAX_VIEWPORT_DIMS = 8192, 8192
[00:00:00]: GL_MAX_VARYING_VECTORS = 32
[00:00:00]: GL_MAX_VERTEX_ATTRIBS = 16
[00:00:00]: GL_MAX_VERTEX_UNIFORM_VECTORS = 4088
[00:00:00]: GL_MAX_VERTEX_TEXTURE_IMAGE_UNITS = 32
[00:00:00]: GL_MAX_FRAGMENT_UNIFORM_VECTORS = 4096
[00:00:00]: 10 compressed texture formats
[00:00:00]: texture format 0x83f0
[00:00:00]: texture format 0x83f2
[00:00:00]: texture format 0x83f3
[00:00:00]: texture format 0x9274
[00:00:00]: texture format 0x9278
[00:00:00]: texture format 0x9270
[00:00:00]: texture format 0x9272
[00:00:00]: texture format 0x9271
[00:00:00]: texture format 0x9273
[00:00:00]: texture format 0x9276
[00:00:00]: FMOD VERSION: 00044464 (00044464)
[00:00:00]: Enumerated SDL joystick "retrogame_joypad" ("retrogame_joypad").
[00:00:00]: SetCommonDefaultControlMapping
[00:00:00]:    X-pos and Y-pos available (Left Stick)
[00:00:00]:    Z-pos and X-rot available (Right Stick, PS3 Controller)
[00:00:00]: Loading default mapping for [retrogame_joypad]
[00:00:00]: Detected Xbox 360 Controller
[00:00:00]: Enumerated SDL joystick "Xbox 360 Controller" ("Xbox 360 Controller").
[00:00:00]: SetCommonDefaultControlMapping
[00:00:00]:    X-pos and Y-pos available (Left Stick)
[00:00:00]:    X-rot and Y-rot available (Right Stick)
[00:00:00]: Loading default mapping for [Xbox 360 Controller]
[00:00:00]: Detected Xbox 360 Controller
[00:00:01]: cDontStarveGame::DoGameSpecificInitialize()
[00:00:01]: cGame::StartPlaying
[00:00:01]: LOADING LUA
[00:00:01]: DoLuaFile scripts/main.lua
[00:00:01]: DoLuaFile loading buffer scripts/main.lua
[00:00:01]: scripts/playerprofile.lua(668,1) loaded profile	
[00:00:01]: scripts/playerprofile.lua(398,1) FOUND THE NEW DATA	true	
[00:00:02]: scripts/playerprofile.lua(398,1) FOUND THE NEW DATA	true	
[00:00:02]: scripts/playerprofile.lua(398,1) FOUND THE NEW DATA	true	
[00:00:02]: scripts/main.lua(234,1) running main.lua
	
[00:00:02]: scripts/main.lua(241,1) Sim Seed = 	2000	
[00:00:02]: scripts/modindex.lua(327,1) loaded modindex	
[00:00:02]: scripts/modindex.lua(67,1) ModIndex: Beginning normal load sequence.
	
[00:00:02]: EnsurePathExists [] [/storage/.klei/DoNotStarve/save/boot_modindex] has invalid component [.klei]
[00:00:02]: scripts/modindex.lua(250,1) WARNING loading modinfo.lua: screecher does not specify if it is compatible with Hamlet. It may not work properly.	
[00:00:05]: LOADING LUA SUCCESS
[00:00:05]: scripts/playerdeaths.lua(79,1) PlayerDeaths loaded morgue	115	
[00:00:05]: scripts/playerprofile.lua(668,1) loaded profile	
[00:00:05]: scripts/playerprofile.lua(739,1) bloom_enabled	false	
[00:00:05]: DEVICE CAP 1671713005
[00:00:05]: scripts/saveindex.lua(103,1) Attempting to load save file saveindex	
[00:00:05]: scripts/saveindex.lua(112,1) loaded saveindex	
[00:00:05]: EnsurePathExists [] [/storage/.klei/DoNotStarve/save/saveindex] has invalid component [.klei]
[00:00:05]: scripts/gamelogic.lua(1181,1) OnFilesLoaded()	
[00:00:05]: scripts/gamelogic.lua(1170,1) OnUpdatePurchaseStateComplete	
[00:00:05]: scripts/gamelogic.lua(121,1) 	Unload BE	
[00:00:05]: Could not unload undefined prefab 0x4374c56c (yellowstaff)
[00:00:05]: Could not unload undefined prefab 0x36768a92 (orangestaff)
[00:00:05]: Could not unload undefined prefab 0x378bda50 (wall_wood_item)
[00:00:05]: Could not unload undefined prefab 0x8cc766ef (pumpkin_lantern)
[00:00:05]: Could not unload undefined prefab 0xe2bfa46 (tophat)
[00:00:05]: Could not unload undefined prefab 0x46094f1b (beefalohat)
[00:00:05]: Could not unload undefined prefab 0xcceee6c3 (cutstone)
[00:00:05]: Could not unload undefined prefab 0xaf34ecc0 (trunkvest_winter)
[00:00:05]: Could not unload undefined prefab 0x875750ea (turf_road)
[00:00:05]: Could not unload undefined prefab 0xcd7669e5 (nightsword)
[00:00:05]: Could not unload undefined prefab 0xa8b25abc (wall_ruins_item)
[00:00:05]: Could not unload undefined prefab 0xefa57cea (bandage)
[00:00:05]: Could not unload undefined prefab 0x86860bc2 (boomerang)
[00:00:05]: Could not unload undefined prefab 0xe51acd32 (lightning_rod)
[00:00:05]: Could not unload undefined prefab 0x947bfcb8 (lightning_rod_placer)
[00:00:05]: Could not unload undefined prefab 0x68ba7100 (researchlab2)
[00:00:05]: Could not unload undefined prefab 0x3386a16a (researchlab2_placer)
[00:00:05]: Could not unload undefined prefab 0x3f5176c5 (firepit)
[00:00:05]: Could not unload undefined prefab 0x8a462465 (firepit_placer)
[00:00:05]: Could not unload undefined prefab 0xe87e06c0 (icebox)
[00:00:05]: Could not unload undefined prefab 0xf2bd1baa (icebox_placer)
[00:00:05]: Could not unload undefined prefab 0xbea16a01 (hambat)
[00:00:05]: Could not unload undefined prefab 0x10473739 (spear)
[00:00:05]: Could not unload undefined prefab 0x8d44bbad (cookpot)
[00:00:05]: Could not unload undefined prefab 0x30d2f57d (cookpot_placer)
[00:00:05]: Could not unload undefined prefab 0x89c20b1b (telebase)
[00:00:05]: Could not unload undefined prefab 0x868a468f (telebase_placer)
[00:00:05]: Could not unload undefined prefab 0x9d92cce (purpleamulet)
[00:00:05]: Could not unload undefined prefab 0xcf1626 (rabbithouse)
